id,name,mujawra
M001,النور المحمدي,مجاورة 1
M002,التوحيد,مجاورة 2
M003,الكاظم,مجاورة 2
M004,الهدي النبوي,مجاورة 3
M005,الفردوس,مجاورة 3
M006,الرئيسي,مجاورة 3
M007,الرحمة,مجاورة 4
M008,الرحمن الرحيم,مجاورة 4
M009,المصطفى,مجاورة 5
M010,الرحمن,مجاورة 6
M011,قباء,مجاورة 7
M012,الرسول,مجاورة 7
M013,التوحيد,مجاورة 8
M014,الرحمن,مجاورة 9
M015,نور الإسلام,مجاورة 9
M016,طارق بن زياد,مجاورة 10
M017,السلام,مجاورة 10
M018,فجر الإسلام,مجاورة 11
M019,الفتح,مجاورة 11
M020,الهدى,مجاورة 12
M021,التقوى,مجاورة 12
M022,عمر بن الخطاب,مجاورة 13
M023,الرحمن,مجاورة 13
M024,عباد الرحمن,مجاورة 14
M025,الإخلاص,مجاورة 15
M026,الرحمن الرحيم,مجاورة 16
M027,الرحمه,مجاورة 17
M028,التوبة,مجاورة 18
M029,أبو بكر الصديق,مجاورة 19
M030,بر الوالدين,مجاورة 19
M031,الصحابة,مجاورة 20
M032,الرحمة المهداه,مجاورة 20
M033,النور,مجاورة 21
M034,عمر بن العاص,مجاورة 21
M035,العلم والإيمان,مجاورة 22
M036,الرحمن,مجاورة 23
M037,الرحمة,مجاورة 24
M038,الكوثر,مجاورة 25
M039,عباد الرحمن,مجاورة 25
M040,مجمع الرحمن,مجاورة 26
M041,النور,مجاورة 27
M042,التوحيد,المنطقة الصناعية
M043,الرضوان,مجاورة 28
M044,أصحاب النبي,مجاورة 29
M045,محمد عبدالرؤوف,مجاورة 30
M046,عباد الرحمن,مجاورة 31
M047,عثمان بن عفان,مجاورة 31
M048,زمزم,مجاورة 32
M049,الجعفري,مجاورة 33
M050,الروضة الشريفة,مجاورة 33
M051,المصطفى,مجاورة 34
M052,الشروق,مجاورة 34
M053,علي بن أبي طالب,مجاورة 35
M054,تبارك,مجاورة 36
M055,الصابرين,المقابر
M056,المسجد الجامع,أول الإمتداد
M057,السلام,مجاورة 2 إمتداد
M058,مصطفى الحامد لله,مجاورة 4 إمتداد
M059,عبدالله بن مسعود,مجاروة 5 إمتداد
M060,الصحابة,الإمتداد
M061,أسماء الله الحسنى,مجاروة 8 إمتداد
M062,د أحمد خليل,مجاورة 9 إمتداد
M063,التوحيد,مجاورة 11 إمتداد
M064,الخلفاء الراشدين,الإسكان العائلي
M065,فاطمة النبوية,الإسكان الاجتماعي
M066,الفتاح الوهاب,أول الإمتداد
M067,العزيز اللطيف,دار مصر
M068,زوية شباب أهل الجنة,مجاورة 2 إمتداد
M069,زوية الشهيد إسلام,مجاورة 7 إمتداد
M070,السجن,15 مايو
M071,محمد صالح,حي الزهور
M072,فارس,100 فدان
M073,الحي القيوم,الإسكان العائلي
M074,عمر بن الخطاب,ال50 فدان
M075,سبيكة بنت بشير,120 فدان
M076,بلال بن رباح,120 فدان
M077,مسجد نعمة,290فدان
M078,ال ال البيت,290 فدان
M079,السلام,90 فدان
M080,الكوثر,90 فدان
M081,الشيخ سليمان,90 فدان
M082,أهل القران,290 فدان
M083,عمر بن الخطاب,290 فدان
M084,المصطفي,120 فدان
M085,الهادي الأمين,المنطقة الصناعية
