khatib_id,mosque_id
K001,M007
K001,M025
K001,M045
K001,M057
K001,M058
K001,M065
K001,M069
K001,M073
K002,M011
K002,M043
K002,M044
K002,M045
K002,M046
K002,M048
K002,M052
K002,M054
K003,M002
K003,M003
K003,M006
K003,M007
K003,M008
K003,M009
K003,M011
K003,M012
K003,M013
K003,M015
K003,M017
K003,M020
K003,M026
K003,M027
K003,M044
K003,M047
K003,M054
K004,M004
K004,M026
K004,M032
K004,M037
K004,M045
K004,M046
K004,M047
K004,M051
K004,M052
K004,M054
K006,M002
K006,M013
K006,M029
K006,M042
K006,M050
K006,M051
K006,M072
K006,M082
K007,M010
K007,M011
K007,M013
K007,M015
K007,M016
K007,M030
K007,M032
K007,M033
K007,M042
K007,M043
K007,M046
K007,M050
K007,M066
K007,M074
K008,M048
K008,M063
K008,M072
K008,M082
K008,M083
K009,M040
K009,M070
K011,M002
K011,M003
K011,M004
K011,M005
K011,M006
K011,M007
K011,M008
K011,M009
K011,M010
K011,M011
K011,M012
K011,M013
K011,M014
K011,M015
K011,M016
K011,M017
K011,M018
K011,M019
K011,M020
K011,M021
K011,M022
K011,M023
K011,M024
K011,M025
K011,M026
K011,M027
K011,M028
K011,M029
K011,M030
K011,M031
K011,M032
K011,M033
K011,M034
K011,M035
K011,M036
K011,M037
K011,M038
K011,M039
K011,M040
K011,M041
K011,M042
K011,M043
K011,M044
K011,M045
K011,M046
K011,M047
K011,M048
K011,M049
K011,M050
K011,M051
K011,M052
K011,M053
K011,M054
K011,M055
K011,M056
K011,M057
K011,M058
K011,M059
K011,M060
K011,M061
K011,M062
K011,M063
K011,M064
K011,M065
K011,M066
K011,M067
K011,M068
K011,M069
K011,M070
K011,M071
K011,M072
K011,M073
K011,M074
K011,M075
K011,M076
K011,M077
K011,M078
K011,M079
K011,M080
K011,M081
K011,M082
K011,M083
K012,M002
K012,M003
K012,M004
K012,M005
K012,M006
K012,M007
K012,M008
K012,M009
K012,M010
K012,M011
K012,M012
K012,M013
K012,M014
K012,M015
K012,M016
K012,M017
K012,M018
K012,M019
K012,M020
K012,M021
K012,M022
K012,M023
K012,M024
K012,M025
K012,M026
K012,M027
K012,M028
K012,M029
K012,M030
K012,M031
K012,M032
K012,M033
K012,M034
K012,M035
K012,M036
K012,M037
K012,M038
K012,M039
K012,M040
K012,M041
K012,M042
K012,M043
K012,M044
K012,M045
K012,M046
K012,M047
K012,M048
K012,M049
K012,M050
K012,M051
K012,M052
K012,M053
K012,M054
K012,M055
K012,M056
K012,M057
K012,M058
K012,M059
K012,M060
K012,M061
K012,M062
K012,M063
K012,M064
K012,M065
K012,M066
K012,M067
K012,M068
K012,M069
K012,M070
K012,M071
K012,M072
K012,M073
K012,M074
K012,M075
K012,M076
K012,M077
K012,M078
K012,M079
K012,M080
K012,M081
K012,M082
K012,M083
K013,M062
K013,M077
K013,M078
K013,M079
K013,M082
K014,M027
K014,M066
K014,M071
K014,M073
K014,M074
K014,M079
K015,M002
K015,M003
K015,M004
K015,M005
K015,M006
K015,M007
K015,M008
K015,M009
K015,M010
K015,M011
K015,M012
K015,M013
K015,M014
K015,M015
K015,M016
K015,M017
K015,M018
K015,M019
K015,M020
K015,M021
K015,M022
K015,M023
K015,M024
K015,M025
K015,M026
K015,M027
K015,M028
K015,M029
K015,M030
K015,M031
K015,M032
K015,M033
K015,M034
K015,M035
K015,M036
K015,M037
K015,M038
K015,M039
K015,M040
K015,M041
K015,M042
K015,M043
K015,M044
K015,M045
K015,M046
K015,M047
K015,M048
K015,M049
K015,M050
K015,M051
K015,M052
K015,M053
K015,M054
K015,M055
K015,M056
K015,M057
K015,M058
K015,M059
K015,M060
K015,M061
K015,M062
K015,M063
K015,M064
K015,M065
K015,M066
K015,M067
K015,M068
K015,M069
K015,M070
K015,M071
K015,M072
K015,M073
K015,M074
K015,M075
K015,M076
K015,M077
K015,M078
K015,M079
K015,M080
K015,M081
K015,M082
K015,M083
K017,M074
K017,M076
K017,M078
K017,M083
K019,M057
K019,M070
K020,M027
K020,M029
K020,M063
K020,M067
K021,M001
K021,M002
K021,M003
K021,M004
K021,M005
K021,M006
K021,M007
K021,M008
K021,M009
K021,M010
K021,M011
K021,M012
K021,M013
K021,M014
K021,M015
K021,M016
K021,M017
K021,M018
K021,M019
K021,M020
K021,M021
K021,M022
K021,M023
K021,M024
K021,M025
K021,M026
K021,M027
K021,M028
K021,M029
K021,M030
K021,M031
K021,M032
K021,M033
K021,M034
K021,M035
K021,M036
K021,M037
K021,M038
K021,M039
K021,M040
K021,M041
K021,M042
K021,M043
K021,M044
K021,M045
K021,M046
K021,M047
K021,M048
K021,M049
K021,M050
K021,M051
K021,M052
K021,M053
K021,M054
K021,M055
K021,M056
K021,M057
K021,M058
K021,M059
K021,M060
K021,M061
K021,M062
K021,M063
K021,M064
K021,M065
K021,M066
K021,M067
K021,M068
K021,M069
K021,M070
K021,M071
K021,M072
K021,M073
K021,M074
K021,M075
K021,M076
K021,M077
K021,M078
K021,M079
K021,M080
K021,M081
K021,M082
K021,M083
K022,M047
K022,M071
K022,M072
K022,M083
K023,M002
K023,M003
K023,M004
K023,M005
K023,M006
K023,M007
K023,M008
K023,M009
K023,M010
K023,M011
K023,M012
K023,M013
K023,M014
K023,M015
K023,M016
K023,M017
K023,M018
K023,M019
K023,M020
K023,M021
K023,M022
K023,M023
K023,M024
K023,M025
K023,M026
K023,M027
K023,M028
K023,M029
K023,M030
K023,M031
K023,M032
K023,M033
K023,M034
K023,M035
K023,M036
K023,M037
K023,M038
K023,M039
K023,M040
K023,M041
K023,M042
K023,M043
K023,M044
K023,M045
K023,M046
K023,M047
K023,M048
K023,M049
K023,M050
K023,M051
K023,M052
K023,M053
K023,M054
K023,M055
K023,M056
K023,M057
K023,M058
K023,M059
K023,M060
K023,M061
K023,M062
K023,M063
K023,M064
K023,M065
K023,M066
K023,M067
K023,M068
K023,M069
K023,M070
K023,M071
K023,M072
K023,M073
K023,M074
K023,M075
K023,M076
K023,M077
K023,M078
K023,M079
K023,M080
K023,M081
K023,M082
K023,M083
K024,M022
K024,M024
K024,M032
K024,M054
K024,M057
K024,M058
K024,M059
K024,M062
K024,M065
K024,M066
K024,M068
K024,M069
K025,M022
K025,M056
K025,M057
K025,M058
K025,M059
K025,M066
K025,M073
K025,M075
K026,M002
K026,M003
K026,M004
K026,M005
K026,M006
K026,M007
K026,M008
K026,M009
K026,M010
K026,M011
K026,M012
K026,M013
K026,M014
K026,M015
K026,M016
K026,M017
K026,M018
K026,M019
K026,M020
K026,M021
K026,M022
K026,M023
K026,M024
K026,M025
K026,M026
K026,M027
K026,M028
K026,M029
K026,M030
K026,M031
K026,M032
K026,M033
K026,M034
K026,M035
K026,M036
K026,M037
K026,M038
K026,M039
K026,M040
K026,M041
K026,M042
K026,M043
K026,M044
K026,M045
K026,M046
K026,M047
K026,M048
K026,M049
K026,M050
K026,M051
K026,M052
K026,M053
K026,M054
K026,M055
K026,M056
K026,M057
K026,M058
K026,M059
K026,M060
K026,M061
K026,M062
K026,M063
K026,M064
K026,M065
K026,M066
K026,M067
K026,M068
K026,M069
K026,M070
K026,M071
K026,M072
K026,M073
K026,M074
K026,M075
K026,M076
K026,M077
K026,M078
K026,M079
K026,M080
K026,M081
K026,M082
K026,M083
K027,M041
K027,M043
K027,M045
K027,M054
K028,M002
K028,M003
K028,M004
K028,M005
K028,M006
K028,M007
K028,M008
K028,M009
K028,M010
K028,M011
K028,M012
K028,M013
K028,M014
K028,M015
K028,M016
K028,M017
K028,M018
K028,M019
K028,M020
K028,M021
K028,M022
K028,M023
K028,M024
K028,M025
K028,M026
K028,M027
K028,M028
K028,M029
K028,M030
K028,M031
K028,M032
K028,M033
K028,M034
K028,M035
K028,M036
K028,M037
K028,M038
K028,M039
K028,M040
K028,M041
K028,M042
K028,M043
K028,M044
K028,M045
K028,M046
K028,M047
K028,M048
K028,M049
K028,M050
K028,M051
K028,M052
K028,M053
K028,M054
K028,M055
K028,M056
K028,M057
K028,M058
K028,M059
K028,M060
K028,M061
K028,M062
K028,M063
K028,M064
K028,M065
K028,M066
K028,M067
K028,M068
K028,M069
K028,M070
K028,M071
K028,M072
K028,M073
K028,M074
K028,M075
K028,M076
K028,M077
K028,M078
K028,M079
K028,M080
K028,M081
K028,M082
K028,M083
K030,M022
K030,M025
K030,M026
K030,M058
K031,M062
K031,M065
K031,M076
K031,M077
K031,M080
K031,M082
K031,M083
K032,M022
K032,M065
K032,M066
K032,M071
K032,M075
K032,M078
K032,M083
K034,M002
K034,M003
K034,M004
K034,M005
K034,M006
K034,M007
K034,M008
K034,M009
K034,M010
K034,M011
K034,M012
K034,M013
K034,M014
K034,M015
K034,M016
K034,M017
K034,M018
K034,M019
K034,M020
K034,M021
K034,M022
K034,M023
K034,M024
K034,M025
K034,M026
K034,M027
K034,M028
K034,M029
K034,M030
K034,M031
K034,M032
K034,M033
K034,M034
K034,M035
K034,M036
K034,M037
K034,M038
K034,M039
K034,M040
K034,M041
K034,M042
K034,M043
K034,M044
K034,M045
K034,M046
K034,M047
K034,M048
K034,M049
K034,M050
K034,M051
K034,M052
K034,M053
K034,M054
K034,M055
K034,M056
K034,M057
K034,M058
K034,M059
K034,M060
K034,M061
K034,M062
K034,M063
K034,M064
K034,M065
K034,M066
K034,M067
K034,M068
K034,M069
K034,M070
K034,M071
K034,M072
K034,M073
K034,M074
K034,M075
K034,M076
K034,M077
K034,M078
K034,M079
K034,M080
K034,M081
K034,M082
K034,M083
K036,M002
K036,M026
K036,M027
K036,M031
K036,M036
K036,M047
K037,M002
K037,M003
K037,M004
K037,M005
K037,M006
K037,M007
K037,M008
K037,M009
K037,M010
K037,M011
K037,M012
K037,M013
K037,M014
K037,M015
K037,M016
K037,M017
K037,M018
K037,M019
K037,M020
K037,M021
K037,M022
K037,M023
K037,M024
K037,M025
K037,M026
K037,M027
K037,M028
K037,M029
K037,M030
K037,M031
K037,M032
K037,M033
K037,M034
K037,M035
K037,M036
K037,M037
K037,M038
K037,M039
K037,M040
K037,M041
K037,M042
K037,M043
K037,M044
K037,M045
K037,M046
K037,M047
K037,M048
K037,M049
K037,M050
K037,M051
K037,M052
K037,M053
K037,M054
K037,M055
K037,M056
K037,M057
K037,M058
K037,M059
K037,M060
K037,M061
K037,M062
K037,M063
K037,M064
K037,M065
K037,M066
K037,M067
K037,M068
K037,M069
K037,M070
K037,M071
K037,M072
K037,M073
K037,M074
K037,M075
K037,M076
K037,M077
K037,M078
K037,M079
K037,M080
K037,M081
K037,M082
K037,M083
K038,M022
K038,M024
K038,M048
K038,M057
K038,M058
K038,M059
K038,M062
K038,M069
K038,M072
K038,M073
K039,M002
K039,M003
K039,M004
K039,M005
K039,M006
K039,M007
K039,M008
K039,M009
K039,M010
K039,M011
K039,M012
K039,M013
K039,M014
K039,M015
K039,M016
K039,M017
K039,M018
K039,M019
K039,M020
K039,M021
K039,M022
K039,M023
K039,M024
K039,M025
K039,M026
K039,M027
K039,M028
K039,M029
K039,M030
K039,M031
K039,M032
K039,M033
K039,M034
K039,M035
K039,M036
K039,M037
K039,M038
K039,M039
K039,M040
K039,M041
K039,M042
K039,M043
K039,M044
K039,M045
K039,M046
K039,M047
K039,M048
K039,M049
K039,M050
K039,M051
K039,M052
K039,M053
K039,M054
K039,M055
K039,M056
K039,M057
K039,M058
K039,M059
K039,M060
K039,M061
K039,M062
K039,M063
K039,M064
K039,M065
K039,M066
K039,M067
K039,M068
K039,M069
K039,M070
K039,M071
K039,M072
K039,M073
K039,M074
K039,M075
K039,M076
K039,M077
K039,M078
K039,M079
K039,M080
K039,M081
K039,M082
K039,M083
K041,M002
K041,M003
K041,M004
K041,M005
K041,M006
K041,M007
K041,M008
K041,M009
K041,M010
K041,M011
K041,M012
K041,M013
K041,M014
K041,M015
K041,M016
K041,M017
K041,M018
K041,M019
K041,M020
K041,M021
K041,M022
K041,M023
K041,M024
K041,M025
K041,M026
K041,M027
K041,M028
K041,M029
K041,M030
K041,M031
K041,M032
K041,M033
K041,M034
K041,M035
K041,M036
K041,M037
K041,M038
K041,M039
K041,M040
K041,M041
K041,M042
K041,M043
K041,M044
K041,M045
K041,M046
K041,M047
K041,M048
K041,M049
K041,M050
K041,M051
K041,M052
K041,M053
K041,M054
K041,M055
K041,M056
K041,M057
K041,M058
K041,M059
K041,M060
K041,M061
K041,M062
K041,M063
K041,M064
K041,M065
K041,M066
K041,M067
K041,M068
K041,M069
K041,M070
K041,M071
K041,M072
K041,M073
K041,M074
K041,M075
K041,M076
K041,M077
K041,M078
K041,M079
K041,M080
K041,M081
K041,M082
K041,M083
K042,M012
K042,M025
K042,M065
K043,M015
K043,M016
K044,M018
K044,M022
K044,M028
K044,M046
K044,M047
K044,M050
K044,M052
K044,M054
K046,M010
K047,M002
K047,M003
K047,M004
K047,M005
K047,M006
K047,M007
K047,M008
K047,M009
K047,M010
K047,M011
K047,M012
K047,M013
K047,M014
K047,M015
K047,M016
K047,M017
K047,M018
K047,M019
K047,M020
K047,M021
K047,M022
K047,M023
K047,M024
